customer_id,tenure_months,monthly_charges,total_charges,num_support_calls,contract_type,internet_service,payment_method,auto_pay,has_paperless_billing,is_senior_citizen,has_partner,has_dependents,churned
C100024,56,142.91,8153.03,2,Month-to-month,DSL,Bank transfer,1,0,0,1,0,0
C100025,46,83.89,3857.69,1,Month-to-month,DSL,Credit card,0,1,0,1,0,0
C100026,28,56.23,1704.13,2,Month-to-month,DSL,Credit card,0,0,0,0,1,1
C100027,59,75.14,4439.27,3,Month-to-month,DSL,Bank transfer,1,1,0,0,1,0
C100028,39,85.77,3336.02,1,Month-to-month,Fiber optic,Credit card,0,1,1,1,0,1
C100029,31,84.82,2641.62,2,Two year,Fiber optic,Bank transfer,0,1,0,1,0,0
C100030,32,82.4,2674.9,2,Month-to-month,DSL,Bank transfer,0,0,1,1,0,1
C100031,16,94.16,1226.7,3,Month-to-month,DSL,Credit card,1,0,0,1,0,0
C100032,6,91.7,438.58,1,Month-to-month,DSL,Credit card,0,0,0,0,0,1
C100033,39,48.81,1984.68,1,Month-to-month,Fiber optic,Electronic check,1,1,0,0,0,1
C100034,63,122.7,7610.17,1,One year,Fiber optic,Electronic check,0,1,0,0,1,0
C100035,4,119.22,471.68,2,Two year,Fiber optic,Credit card,0,0,0,0,0,0
C100036,61,90.02,5460.53,2,Month-to-month,Fiber optic,Bank transfer,1,0,0,1,0,0
C100037,59,70.97,4113.96,3,Two year,Fiber optic,Credit card,0,1,1,0,0,1
C100038,19,71.4,1339.3,2,One year,DSL,Mailed check,1,1,0,0,0,1
C100039,45,61.91,2690.89,1,Month-to-month,DSL,Credit card,0,1,1,1,0,1
C100040,11,65.14,571.84,0,Month-to-month,DSL,Bank transfer,1,0,0,0,0,0
C100041,54,15.33,832.58,2,Month-to-month,Fiber optic,Electronic check,0,1,0,1,0,1
C100042,50,108.26,5674.55,0,Two year,DSL,Mailed check,1,1,0,1,0,0
C100043,25,99.44,2597.35,3,Month-to-month,Fiber optic,Mailed check,0,1,0,1,0,1
C100044,4,28.08,144.68,2,One year,Fiber optic,Electronic check,1,0,1,0,0,1
C100045,69,92.25,6511.12,1,Month-to-month,DSL,Credit card,1,0,0,1,1,1
C100046,32,69.81,2255.35,3,One year,DSL,Bank transfer,0,0,0,1,0,0
C100047,64,65.02,4163.83,1,Two year,Fiber optic,Electronic check,1,0,1,1,0,1
C100048,48,82.32,3845.31,1,Month-to-month,DSL,Credit card,1,1,0,1,1,1
C100049,56,26.43,1511.35,0,Month-to-month,DSL,Credit card,0,0,0,1,1,1
C100050,54,69.72,3793.79,2,One year,Fiber optic,Bank transfer,0,1,1,0,0,1
C100051,14,71.99,933.51,2,Two year,Fiber optic,Mailed check,1,1,1,0,0,0
C100052,26,72.01,1838.27,3,Month-to-month,Fiber optic,Mailed check,1,0,0,0,1,1
C100053,33,35.81,1121.31,0,Month-to-month,None,Credit card,1,1,0,1,0,1
C100054,35,81.17,2905.01,0,Month-to-month,DSL,Electronic check,0,1,0,0,0,0
C100055,3,96.5,513.09,0,Month-to-month,Fiber optic,Electronic check,0,0,0,1,0,1
C100056,39,80.18,2991.29,1,Two year,None,Mailed check,0,1,0,0,0,0
C100057,11,64.27,807.72,2,Month-to-month,Fiber optic,Mailed check,1,0,1,0,0,0
C100058,53,137.23,7521.86,0,Month-to-month,DSL,Credit card,0,0,0,1,1,0
C100059,49,46.89,2215.61,3,Month-to-month,DSL,Credit card,1,0,0,1,1,1
C100060,66,89.34,5619.15,1,One year,Fiber optic,Credit card,0,1,0,1,0,0
C100061,53,76.08,4039.52,0,Two year,None,Bank transfer,0,0,0,0,0,1
C100062,26,120.31,3096.65,1,Month-to-month,Fiber optic,Bank transfer,0,1,0,1,0,0
C100063,69,79.67,5470.83,0,Month-to-month,Fiber optic,Electronic check,0,1,1,0,0,0
C100064,29,85.03,2609.54,3,One year,DSL,Credit card,1,1,0,0,1,0
C100065,23,82.64,1857.15,1,Two year,DSL,Credit card,0,0,0,0,0,1
C100066,65,43.54,2988.24,4,Month-to-month,Fiber optic,Mailed check,0,1,0,0,1,0
C100067,26,48.28,1144.01,0,Month-to-month,None,Credit card,1,0,0,1,0,1
C100068,5,63.11,233.43,2,Month-to-month,Fiber optic,Credit card,0,0,1,0,0,1
C100069,33,93.93,2976.9,1,Two year,DSL,Mailed check,0,0,0,0,0,1
C100070,57,75.83,4300.86,1,Month-to-month,DSL,Credit card,1,1,0,0,1,0
C100071,13,64.83,980.94,1,Two year,DSL,Credit card,0,0,1,0,1,1
C100072,33,104.3,3267.33,0,Month-to-month,Fiber optic,Credit card,0,0,0,0,0,0
C100073,9,20.44,156.25,0,Two year,Fiber optic,Electronic check,1,1,0,1,0,0
C100074,49,37.6,1806.82,2,Month-to-month,Fiber optic,Electronic check,0,1,0,0,1,0
C100075,34,15.0,507.98,0,Month-to-month,DSL,Mailed check,1,0,0,1,1,1
C100076,23,100.21,2329.07,0,Month-to-month,Fiber optic,Bank transfer,1,0,0,0,1,0
C100077,16,67.58,1041.75,1,Month-to-month,DSL,Electronic check,0,1,0,1,0,0
C100078,40,94.16,3584.26,4,Month-to-month,Fiber optic,Electronic check,0,1,0,1,0,0
C100079,48,67.27,3219.08,0,Month-to-month,Fiber optic,Mailed check,1,1,0,0,0,0
C100080,67,95.58,6609.36,1,Month-to-month,DSL,Electronic check,0,0,0,0,0,0
C100081,31,66.83,2163.54,0,Month-to-month,Fiber optic,Credit card,1,0,1,1,0,0
C100082,11,80.25,827.73,0,Two year,Fiber optic,Electronic check,0,1,0,1,1,0
C100083,59,76.59,4526.89,0,One year,Fiber optic,Credit card,0,0,0,0,1,1
C100084,45,78.44,3588.67,1,Month-to-month,DSL,Mailed check,0,1,0,1,0,1
C100085,50,112.12,5754.76,3,Month-to-month,Fiber optic,Electronic check,1,0,0,1,1,0
C100086,7,29.39,273.37,1,Month-to-month,None,Bank transfer,1,1,0,1,1,1
C100087,22,68.29,1529.9,0,Month-to-month,Fiber optic,Bank transfer,1,1,0,1,1,0
C100088,55,74.95,3990.41,2,Month-to-month,DSL,Credit card,1,1,0,1,0,1
C100089,59,71.21,4037.75,0,One year,Fiber optic,Electronic check,0,0,0,0,0,1
C100090,31,60.05,1915.94,0,One year,DSL,Bank transfer,0,1,1,0,0,0
C100091,57,56.63,3105.07,2,Month-to-month,Fiber optic,Mailed check,0,1,0,0,0,1
C100092,60,108.25,6627.48,1,One year,DSL,Bank transfer,0,1,0,0,0,0
C100093,27,68.23,1781.23,2,Month-to-month,DSL,Credit card,0,1,1,0,1,0
C100094,64,130.95,8142.02,3,One year,Fiber optic,Credit card,1,0,0,1,0,0
C100095,20,83.21,1728.2,2,Month-to-month,Fiber optic,Credit card,0,0,0,0,1,0
C100096,17,62.76,970.6,3,Month-to-month,None,Bank transfer,0,1,0,0,0,0
C100097,49,83.82,4166.39,1,Two year,Fiber optic,Bank transfer,1,1,0,0,0,0
C100098,45,72.72,3292.47,2,Month-to-month,Fiber optic,Mailed check,1,0,0,0,0,1
C100099,10,103.55,740.16,0,Month-to-month,DSL,Credit card,0,1,0,1,1,0
C100100,59,40.81,2494.29,1,One year,Fiber optic,Bank transfer,1,1,0,0,1,1
C100101,14,24.97,398.04,1,Month-to-month,None,Bank transfer,1,0,0,1,0,0
C100102,57,79.02,4617.19,3,Month-to-month,Fiber optic,Bank transfer,1,1,0,1,0,1
C100103,0,90.89,132.64,1,One year,None,Mailed check,0,0,0,0,0,1
C100104,57,77.15,4313.09,0,Month-to-month,DSL,Mailed check,1,0,1,1,0,0
C100105,56,86.81,5012.41,1,Month-to-month,DSL,Mailed check,0,1,0,0,1,0
C100106,56,83.14,4750.14,2,Month-to-month,Fiber optic,Mailed check,0,1,1,0,0,0
C100107,47,32.99,1447.0,1,Month-to-month,DSL,Electronic check,0,0,0,1,0,1
C100108,33,77.03,2430.47,1,One year,Fiber optic,Bank transfer,1,0,0,1,0,0
C100109,50,102.92,5028.96,1,Month-to-month,Fiber optic,Bank transfer,1,0,0,0,0,0
C100110,19,74.29,1576.28,2,Month-to-month,Fiber optic,Electronic check,0,1,0,1,1,0
C100111,56,37.25,2032.09,0,Month-to-month,DSL,Electronic check,0,0,1,0,0,1
C100112,40,61.65,2411.89,2,Month-to-month,Fiber optic,Credit card,0,1,0,0,1,1
C100113,33,83.92,2607.7,2,Month-to-month,DSL,Credit card,0,0,0,1,0,1
C100114,36,114.89,4053.77,0,Month-to-month,Fiber optic,Electronic check,1,0,1,0,1,0
C100115,40,21.09,876.38,1,One year,DSL,Bank transfer,1,1,0,0,0,1
C100116,2,79.03,0.0,1,One year,Fiber optic,Mailed check,0,0,0,1,0,0
C100117,10,46.69,500.0,0,Month-to-month,Fiber optic,Bank transfer,0,1,1,0,1,0
C100118,17,82.69,1297.01,2,Month-to-month,Fiber optic,Mailed check,1,0,1,1,0,0
C100119,8,84.7,916.86,2,One year,DSL,Bank transfer,0,1,1,0,1,1
C100120,31,64.17,2000.37,1,Month-to-month,Fiber optic,Bank transfer,1,1,0,0,1,0
C100121,48,85.79,4107.1,4,One year,Fiber optic,Mailed check,1,1,0,0,0,0
C100122,47,98.5,4543.55,4,Month-to-month,DSL,Bank transfer,0,0,0,0,0,0
C100123,33,65.89,2195.47,3,Month-to-month,Fiber optic,Electronic check,0,1,0,1,0,0
C100124,61,36.57,2150.14,1,Month-to-month,Fiber optic,Bank transfer,1,1,0,0,0,0
C100125,40,105.64,4241.0,0,Month-to-month,Fiber optic,Bank transfer,0,1,0,0,1,0
C100126,5,90.72,373.74,0,One year,Fiber optic,Credit card,1,1,1,1,0,1
C100127,55,84.09,4545.68,2,Month-to-month,Fiber optic,Mailed check,0,1,1,0,1,1
C100128,41,52.73,2324.66,2,One year,DSL,Credit card,0,1,0,0,0,1
C100129,45,94.64,4457.91,2,Month-to-month,Fiber optic,Credit card,0,1,0,1,0,0
C100130,40,121.06,5107.59,1,One year,DSL,Bank transfer,1,1,1,1,1,0
C100131,39,66.97,2697.13,3,Month-to-month,DSL,Mailed check,0,0,1,1,0,0
C100132,6,72.36,478.46,1,Month-to-month,Fiber optic,Mailed check,1,0,1,1,0,1
C100133,40,43.37,1830.29,2,Month-to-month,Fiber optic,Bank transfer,1,0,0,0,0,1
C100134,57,52.01,2990.25,5,Month-to-month,None,Mailed check,0,1,0,1,0,0
C100135,21,43.14,945.86,2,One year,Fiber optic,Electronic check,0,0,0,1,0,1
C100136,43,73.27,3303.05,0,Two year,Fiber optic,Credit card,1,1,0,0,1,1
C100137,2,61.48,198.22,1,Month-to-month,Fiber optic,Bank transfer,0,1,0,1,0,0
C100138,25,79.32,2035.76,0,Month-to-month,DSL,Credit card,1,0,0,1,0,1
C100139,31,47.7,1535.71,0,Month-to-month,Fiber optic,Bank transfer,1,1,0,1,0,1
C100140,70,65.81,4617.73,2,Month-to-month,DSL,Mailed check,0,1,0,0,0,0
C100141,15,46.16,727.59,1,Month-to-month,DSL,Electronic check,1,0,0,0,0,1
C100142,19,74.69,1486.78,0,Two year,Fiber optic,Electronic check,0,0,1,1,0,0
C100143,29,29.19,792.51,6,Month-to-month,DSL,Electronic check,0,1,0,1,0,1
C100144,71,73.79,5157.55,0,Two year,Fiber optic,Credit card,0,0,0,0,0,1
C100145,61,63.03,3913.76,2,One year,Fiber optic,Credit card,0,1,0,1,1,1
C100146,2,74.52,163.78,1,One year,DSL,Bank transfer,0,0,1,0,0,1
C100147,16,28.69,458.33,1,Two year,DSL,Bank transfer,0,1,0,1,1,1
C100148,59,86.37,5133.73,1,Month-to-month,Fiber optic,Bank transfer,0,0,0,0,1,0
C100149,4,62.53,64.15,1,Month-to-month,DSL,Electronic check,1,1,0,1,1,1
C100150,61,75.43,4581.93,3,Month-to-month,DSL,Bank transfer,1,1,0,1,0,1
C100151,20,23.25,459.35,2,Month-to-month,DSL,Credit card,1,0,0,1,0,1
C100152,66,38.93,2580.0,1,Month-to-month,Fiber optic,Mailed check,0,0,1,1,1,1
C100153,21,60.25,1342.43,1,Month-to-month,Fiber optic,Credit card,0,1,0,1,0,0
C100154,31,104.39,3178.83,5,One year,DSL,Credit card,0,0,0,0,0,1
C100155,47,83.18,4077.28,1,Month-to-month,Fiber optic,Credit card,0,1,0,1,0,1
C100156,9,73.25,552.27,3,One year,DSL,Mailed check,0,1,0,1,0,0
C100157,40,46.89,1924.49,2,Month-to-month,DSL,Electronic check,0,1,1,1,0,1
C100158,36,42.34,1491.39,3,Month-to-month,Fiber optic,Electronic check,1,0,0,1,1,1
C100159,56,76.92,4442.05,2,Month-to-month,Fiber optic,Electronic check,0,1,0,1,0,1
C100160,71,87.52,6242.72,0,Month-to-month,Fiber optic,Credit card,1,1,0,1,1,0
C100161,47,75.22,3399.45,0,Month-to-month,Fiber optic,Mailed check,1,1,0,1,0,0
C100162,29,112.74,3286.89,0,Month-to-month,DSL,Bank transfer,1,0,0,0,0,1
C100163,29,52.94,1567.02,1,Month-to-month,Fiber optic,Credit card,1,0,0,0,0,0
C100164,30,74.48,2259.71,1,One year,Fiber optic,Mailed check,0,0,0,1,0,0
C100165,58,27.67,1618.55,0,Month-to-month,Fiber optic,Credit card,0,1,0,1,0,1
C100166,23,75.28,1705.96,1,One year,DSL,Credit card,0,1,0,0,1,0
C100167,12,106.73,1191.29,2,Month-to-month,Fiber optic,Electronic check,1,1,0,0,0,0
C100168,24,43.96,946.69,1,Month-to-month,DSL,Electronic check,1,0,0,1,0,1
C100169,1,91.05,170.68,0,Month-to-month,DSL,Mailed check,0,1,0,0,1,1
C100170,7,106.03,822.92,1,Month-to-month,Fiber optic,Electronic check,0,1,0,1,0,0
C100171,6,52.76,467.7,2,One year,Fiber optic,Electronic check,0,1,0,0,0,0
C100172,55,81.67,4486.96,2,One year,DSL,Bank transfer,1,0,1,1,0,1
C100173,52,109.49,5739.1,0,Two year,Fiber optic,Electronic check,1,1,0,1,0,0
C100174,50,75.76,3805.25,0,One year,DSL,Credit card,1,1,0,1,1,0
C100175,33,89.67,3075.57,0,Month-to-month,DSL,Bank transfer,1,1,0,1,0,1
C100176,51,25.65,1288.42,2,Month-to-month,Fiber optic,Credit card,0,1,0,1,1,1
C100177,11,84.93,953.4,1,One year,DSL,Mailed check,1,1,0,0,1,1
C100178,64,82.93,5310.97,2,Two year,Fiber optic,Mailed check,0,0,1,1,0,0
C100179,36,36.84,1367.5,0,Month-to-month,DSL,Bank transfer,1,1,0,1,0,1
C100180,67,45.89,3227.69,2,Month-to-month,Fiber optic,Credit card,0,1,0,1,1,1
C100181,10,85.1,893.25,2,Month-to-month,None,Electronic check,0,1,0,1,0,1
C100182,35,62.43,2049.83,0,One year,DSL,Credit card,0,1,0,1,1,1
C100183,50,97.8,4717.98,2,Month-to-month,DSL,Electronic check,1,1,0,0,0,0
C100184,35,77.77,2844.97,1,One year,DSL,Bank transfer,1,1,0,1,0,0
C100185,32,71.41,2106.93,1,Month-to-month,Fiber optic,Bank transfer,0,1,0,1,1,1
C100186,11,65.74,754.33,0,Two year,Fiber optic,Credit card,0,1,0,0,0,0
C100187,27,77.32,2002.82,0,Month-to-month,DSL,Credit card,0,1,0,0,0,0
C100188,17,90.07,1895.77,1,One year,Fiber optic,Bank transfer,1,1,0,0,0,0
C100189,21,83.35,1598.72,1,One year,None,Mailed check,0,0,0,0,0,1
C100190,49,59.42,2852.81,2,Month-to-month,None,Credit card,1,0,1,0,0,0
C100191,45,100.99,4662.72,1,Month-to-month,Fiber optic,Mailed check,0,1,0,1,0,1
C100192,43,86.44,3686.97,1,Two year,DSL,Mailed check,0,1,1,1,0,0
C100193,26,79.63,1984.5,0,Month-to-month,Fiber optic,Electronic check,0,0,0,0,0,1
C100194,69,72.29,4883.48,2,Month-to-month,Fiber optic,Credit card,0,1,0,1,0,0
C100195,6,82.5,413.71,1,Two year,Fiber optic,Mailed check,1,0,1,1,1,0
C100196,24,24.21,548.09,1,Month-to-month,DSL,Bank transfer,1,0,0,0,1,1
C100197,8,76.03,606.81,1,Month-to-month,Fiber optic,Bank transfer,1,0,0,0,0,0
C100198,24,111.0,2984.65,1,Month-to-month,Fiber optic,Mailed check,0,0,0,1,1,1
C100199,69,75.5,5443.05,3,Month-to-month,Fiber optic,Credit card,1,1,0,1,0,1
C100200,26,72.09,2095.41,1,One year,Fiber optic,Credit card,0,1,1,1,0,0
C100201,65,55.1,3570.93,2,Month-to-month,DSL,Credit card,0,1,1,0,0,1
C100202,35,82.32,2969.53,2,Month-to-month,Fiber optic,Mailed check,0,0,0,0,1,0
C100203,50,65.12,3268.56,5,Month-to-month,DSL,Mailed check,1,1,0,0,0,0
C100204,32,102.73,3160.99,2,Month-to-month,Fiber optic,Mailed check,0,1,0,1,0,0
C100205,19,48.41,788.77,1,One year,Fiber optic,Electronic check,0,1,0,0,1,1
C100206,55,58.69,3072.95,1,Month-to-month,Fiber optic,Electronic check,1,1,0,1,0,1
C100207,69,54.98,3806.28,2,Month-to-month,Fiber optic,Bank transfer,1,1,1,0,0,1
C100208,18,115.86,1848.57,2,Month-to-month,DSL,Mailed check,1,0,0,1,1,0
C100209,56,65.26,3576.47,1,One year,Fiber optic,Credit card,0,0,0,1,0,1
C100210,18,56.3,1044.53,2,Month-to-month,DSL,Credit card,1,0,0,1,0,0
C100211,51,17.74,842.45,1,Two year,Fiber optic,Bank transfer,1,1,0,1,1,1
C100212,56,47.22,2748.04,0,Month-to-month,Fiber optic,Mailed check,0,0,0,1,0,1
C100213,32,83.2,2668.9,1,Two year,Fiber optic,Credit card,1,1,0,0,1,1
C100214,53,83.1,4357.22,1,Two year,Fiber optic,Credit card,0,0,0,0,1,0
C100215,19,53.72,969.24,0,Month-to-month,DSL,Mailed check,1,0,0,0,1,1
C100216,5,55.11,314.63,4,Month-to-month,Fiber optic,Mailed check,1,0,0,0,0,0
C100217,6,116.5,530.4,0,One year,DSL,Bank transfer,1,0,0,0,0,0
C100218,32,137.41,4669.32,1,Two year,DSL,Credit card,0,0,0,0,0,0
C100219,64,98.74,6448.14,2,Month-to-month,Fiber optic,Credit card,0,0,1,0,0,0
C100220,9,108.98,862.41,2,Month-to-month,Fiber optic,Mailed check,0,1,0,1,0,0
C100221,32,114.29,3623.51,1,Month-to-month,Fiber optic,Bank transfer,0,1,0,0,1,1
C100222,50,125.36,6496.31,0,One year,Fiber optic,Bank transfer,0,0,0,0,0,0
C100223,14,62.45,912.34,1,Two year,None,Bank transfer,1,1,0,0,0,1
C100224,51,48.04,2433.91,1,Two year,Fiber optic,Bank transfer,0,0,0,0,0,0
C100225,22,115.84,2419.07,1,Month-to-month,None,Mailed check,1,1,0,0,0,1
C100226,58,45.89,2654.04,2,Month-to-month,DSL,Electronic check,0,1,0,0,0,1
C100227,41,44.29,1788.22,2,Month-to-month,Fiber optic,Electronic check,0,0,0,1,1,1
C100228,39,44.86,1770.3,5,Month-to-month,DSL,Mailed check,0,1,0,1,0,0
C100229,12,66.72,769.17,1,Month-to-month,Fiber optic,Electronic check,1,0,0,1,1,0
C100230,33,20.39,643.3,2,One year,Fiber optic,Electronic check,0,1,0,1,0,0
C100231,61,34.17,2140.76,1,One year,Fiber optic,Credit card,0,0,0,1,1,1
C100232,1,54.44,98.82,1,Month-to-month,DSL,Electronic check,0,1,1,1,0,0
C100233,54,40.1,2105.49,1,Two year,Fiber optic,Electronic check,0,1,0,0,0,0
C100234,35,96.56,3294.2,5,Two year,DSL,Bank transfer,1,0,0,0,1,0
C100235,51,70.17,3653.19,2,Month-to-month,DSL,Bank transfer,0,1,0,0,0,1
C100236,47,84.43,3861.78,0,Month-to-month,None,Electronic check,1,1,0,1,0,1
C100237,31,81.69,2511.48,1,Month-to-month,Fiber optic,Electronic check,1,1,0,1,1,0
C100238,22,64.83,1397.99,0,One year,DSL,Bank transfer,0,0,0,0,0,0
C100239,45,94.7,4158.89,1,Month-to-month,None,Electronic check,0,1,0,0,1,0
C100240,10,81.3,683.57,2,Month-to-month,DSL,Bank transfer,1,0,0,1,1,0
C100241,42,62.04,2600.58,1,Month-to-month,Fiber optic,Credit card,1,1,0,1,0,1
C100242,6,27.9,128.47,2,Month-to-month,DSL,Credit card,0,1,0,1,0,1
C100243,46,83.02,3744.48,1,Month-to-month,Fiber optic,Mailed check,0,1,0,0,0,0
C100244,45,38.47,1780.05,0,Month-to-month,DSL,Credit card,0,0,0,0,0,1
C100245,6,79.51,391.52,0,Two year,DSL,Electronic check,1,0,0,0,1,0
C100246,54,71.97,3935.87,2,Month-to-month,DSL,Electronic check,0,1,0,1,0,1
C100247,29,35.99,1095.41,0,Month-to-month,DSL,Mailed check,0,0,0,1,1,1
C100248,56,76.46,4269.47,1,Month-to-month,DSL,Mailed check,0,1,0,0,1,1
C100249,2,74.78,206.76,1,Month-to-month,DSL,Bank transfer,0,1,0,1,1,1
C100250,12,74.87,802.24,1,Month-to-month,DSL,Credit card,0,1,0,0,0,0
C100251,35,73.67,2660.53,1,One year,Fiber optic,Bank transfer,0,1,1,1,0,0
C100252,13,53.69,749.92,1,Month-to-month,DSL,Electronic check,1,0,0,0,0,1
C100253,23,84.79,2135.23,3,Month-to-month,Fiber optic,Mailed check,0,0,0,0,0,0
C100254,47,52.81,2574.84,3,Month-to-month,None,Bank transfer,1,1,0,1,0,1
C100255,10,43.14,448.46,1,Month-to-month,DSL,Mailed check,1,0,0,1,1,1
C100256,48,86.87,4529.23,0,Month-to-month,DSL,Mailed check,1,1,0,1,0,0
C100257,7,93.41,777.71,3,Two year,Fiber optic,Credit card,1,0,1,1,1,0
C100258,12,85.15,1184.45,3,One year,DSL,Credit card,0,1,1,0,0,1
C100259,42,64.82,2677.61,2,Month-to-month,Fiber optic,Credit card,1,0,0,0,0,0
C100260,57,21.51,1214.36,2,One year,DSL,Bank transfer,1,0,0,1,0,1
C100261,12,107.04,1296.12,3,Month-to-month,DSL,Mailed check,0,1,1,0,0,0
C100262,21,21.12,411.82,2,One year,DSL,Mailed check,0,0,0,1,0,1
C100263,66,84.65,5591.81,3,Month-to-month,DSL,Mailed check,0,0,0,0,0,1
C100264,71,122.76,8708.44,1,Month-to-month,Fiber optic,Mailed check,1,1,0,1,0,0
C100265,41,73.74,3144.23,0,One year,Fiber optic,Mailed check,1,1,0,1,1,1
C100266,32,77.28,2608.29,1,One year,DSL,Mailed check,1,1,0,1,0,1
C100267,24,79.48,1922.03,3,One year,DSL,Bank transfer,1,0,0,0,1,1
C100268,44,74.95,3256.08,2,One year,Fiber optic,Bank transfer,1,0,0,1,0,0
C100269,42,128.77,5753.98,2,One year,Fiber optic,Mailed check,0,0,0,1,0,0
C100270,21,48.92,915.77,3,Month-to-month,Fiber optic,Credit card,1,1,0,0,0,0
C100271,1,45.78,0.0,1,Month-to-month,Fiber optic,Electronic check,1,1,0,1,0,0
C100272,10,61.81,662.69,0,One year,Fiber optic,Bank transfer,0,0,0,1,0,1
C100273,69,113.52,7821.13,0,Two year,Fiber optic,Credit card,1,1,0,0,0,0
C100274,30,55.58,1641.73,1,One year,Fiber optic,Mailed check,0,1,0,0,0,1
C100275,34,80.76,2524.17,0,One year,Fiber optic,Electronic check,0,0,0,1,0,1
C100276,33,96.78,3066.09,4,Month-to-month,Fiber optic,Electronic check,0,1,0,1,1,0
C100277,56,89.47,5208.94,1,One year,DSL,Electronic check,0,1,0,0,0,0
C100278,4,95.45,569.0,0,One year,Fiber optic,Credit card,1,1,0,1,0,0
C100279,5,105.45,652.3,3,One year,Fiber optic,Mailed check,0,1,1,1,0,0
C100280,19,77.71,1381.28,0,Month-to-month,Fiber optic,Electronic check,0,1,0,1,0,1
C100281,35,58.57,2020.81,4,Month-to-month,Fiber optic,Electronic check,1,0,0,0,1,0
C100282,48,73.68,3492.18,2,One year,Fiber optic,Electronic check,0,1,1,1,0,1
C100283,35,61.52,2090.86,1,Month-to-month,DSL,Bank transfer,0,0,0,0,1,1
C100284,31,133.04,4015.61,0,Two year,Fiber optic,Bank transfer,1,1,1,1,0,0
C100285,67,56.68,3789.22,2,Month-to-month,DSL,Credit card,0,1,0,0,0,0
C100286,11,82.08,721.18,1,One year,DSL,Mailed check,0,0,0,1,0,0
C100287,41,32.48,1389.14,0,Month-to-month,DSL,Mailed check,0,1,0,1,0,1
C100288,39,73.32,2844.59,0,Month-to-month,None,Bank transfer,0,1,0,0,1,1
C100289,34,62.82,2088.64,0,Month-to-month,Fiber optic,Mailed check,1,0,0,1,0,0
C100290,58,86.89,4834.29,3,Two year,None,Bank transfer,0,1,0,1,1,0
C100291,19,87.54,1766.12,2,Month-to-month,Fiber optic,Credit card,0,0,0,0,1,0
C100292,68,105.42,7004.1,3,Month-to-month,Fiber optic,Electronic check,1,1,0,1,0,0
C100293,23,103.44,2453.88,2,Month-to-month,DSL,Bank transfer,0,1,0,0,0,0
C100294,39,68.34,2575.05,3,One year,None,Bank transfer,0,0,0,1,1,0
C100295,37,46.39,1724.38,0,Month-to-month,DSL,Bank transfer,1,1,0,0,0,0
C100296,61,49.32,2913.79,1,Month-to-month,None,Credit card,0,0,0,0,1,1
C100297,31,77.57,2384.81,3,One year,Fiber optic,Bank transfer,0,1,0,0,0,1
C100298,20,73.94,1470.28,2,Month-to-month,Fiber optic,Bank transfer,0,0,0,1,1,1
C100299,1,76.45,94.98,2,Month-to-month,Fiber optic,Bank transfer,0,1,1,0,1,1
C100300,26,56.62,1547.21,0,One year,Fiber optic,Credit card,0,1,0,1,1,0
C100301,59,105.93,6331.99,2,One year,Fiber optic,Credit card,0,1,0,0,0,0
